,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Rank,Lyrics
17,15,Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72,37.0, poppin bottles in the ice like a blizzard when we drink we do it right gettin slizzard sippin sizzurp in my ride in my ride like three six now im feelin so fly like a g 6 like a g 6 like a g 6 now im feelin so fly like a g 6 like a g 6 like a g 6 now im feelin so fly like a g 6gimme that moet et gimme that crystal stal ladies love my style at my table gettin wild get them bottles poppin we get that drip and that drop now now give me two more bottles cause you know it dont stop808 hell yea drink it up drinkdrink it up these sober girls around me they be actin like they drunk they be actin like they drunk actinactin like they drunk when sober girls around me they be actinactin like they drunkpoppin bottles in the ice like a blizzard when we drink we do it right gettin slizzard sippin sizzurp in my ride in my ride like three six now im feelin so fly like a g 6 like a g 6 like a g 6 now im feelin so fly like a g 6 like a g 6 like a g 6 now im feelin so fly like a g 6sippin on sippin on sizz im a ma make it fizz girl i keep it gangsta poppin bottles at the crib this is how we live every single night take that bottle to the head and let me see you fly808 hell yea drink it up drinkdrink it up when sober girls around me they be actin like they drunk they be actin like they drunk actinactin like they drunk when sober girls around me actinactin like they drunkpoppin bottles in the ice like a blizzard when we drink we do it right gettin slizzard sippin sizzurp in my ride in my ride like three six now im feelin so fly like a g 6 like a g 6 like a g 6 now im feelin so fly like a g 6 like a g 6 like a g 6 now im feelin so fly like a g 6its that 808 bump make you put yo hands up make you put yo hands up put yo put yo hands up you cant touch this its that 808 bump make you put yo hands up make you put yo hands up put yo put yo hands up you cant touch this hell yea make you put yo hands up put yo put yo hands up hell yea make you put yo hands up put yo put yo hands uppoppin bottles in the ice like a blizzard when we drink we do it right gettin slizzard sippin sizzurp in my ride in my ride like three six now im feelin so fly like a g 6 like a g 6 like a g 6 now im feelin so fly like a g 6 like a g 6 like a g 6 now im feelin so fly like a g 6 
20,17,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71,89.0, sean kingstoneenie meenie miney mo catch a bad chick by her toe if she holla if if if she holla let her goshes indecisive she cant decide she keeps on lookin from left to rightgirl cmon get closer look in my eyes searchin is so wrong im mr rightyou seem like the type to love em and leave em and disappear right after the song so give me the night to show you hold you dont leave me out here dancin aloneyou cant make up your mind mind mind mind mind please dont waste my time time time time time im not tryin to rewind wind wind wind wind i wish our hearts could come together as onecause shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lovajustin bieber let me show you what your missin paradise with me youre winning girl you dont have to roll the dice tell me what youre really here for them other guys i can see right through yayou seem like the type to love em and leave em and disappear right after the song so give me the night to show you hold you dont leave me out here dancin alonecant make up your mind mind mind mind mind please dont waste my time time time time time not tryin to rewind winf wind wind i wish our hearts could come together as onecause shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lovasean kingston eenie meenie miney moe catch a bad chick by her toe if she holla if if if she holla let her go eenie meenie miney moe catch a bad chick by her toe if she holla x2 let her goshawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lova shawty is a eenie meenie miney mo lovacant make up your mind please dont waste my time not tryin to rewind i wish our hearts could come together as one x2 
21,18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70,37.0,this is international big mega radio smasher william ive had the time of my life and ive never felt this way before and i swear this is true and i owe it all to you fergie ive had the time of my life and ive never felt this way before and i swear this is true and i owe it all to you youyouyouyouyou youyouyouyouyou youyouyouyouyouyouyyyyyou dirty bit dirty bit william ii came up in here to rock light a fire make it hot i dont wanna take no pictures i just wanna take some shots so come on lets go lets lose control lets do it all night til we cant do it no mo people rockin to the sound turn it up and watch it pound we gon rock it to the top until the roof come burnin down yeah its hot in herrre the temperaturrre has got these ladies gettin freakierrr fergie i got freaky freaky baby i was chillin with my ladies i didnt come to get bougie i came here to get crazy i was born to get wiiild thats my styyyle if you didnt know that well baby now you know now cause im havin a good time with you im tellin you ive had the time of my life and ive never felt this way before and i swear this is true and i owe it all to you ive had the time of my life and ive never felt this way before and i swear this is true and i owe it all to you youyouyouyouyou youyouyouyouyou youyouyouyouyouyouyyyyyou dirty bit dirty bit taboo allall these girls they like my swagger they callin me mick jagger i be rollin like a stone jetsetter jetlagger we aint messin with no maggots messin with the baddest chicks in the club honey whats up apldeap mirror mirror on the wall whos the baddest of them all yeah its gotta be the apl im the mack daddy yall haters better step back ladies dont load your act im the party application rockin just like that this is international big mega radio smasher cause im havin a good time with you im tellin you iiiive had the time of my liiife and ive never felt this way beforefore and i swearwear this is truuue and i owe it all to youou oh iiiive had the time of my liiiow and ive never felt this way beforefore and i swearwear this is truuue and i owe it all to youou iiiive had the time of my liiife and ive never felt this way beforefore and i swearwear this is truuue and i owe it all to youou oh iiiive had the time of my liiiow and ive never felt this way beforefore and i swearwear this is truuue and i owe it all to youou dirty bit
22,19,Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69,33.0, i know that we are young and i know that you may love me but i just cant be with you like this anymore alejandroshes got both hands in her pocket and she wont look at you wont look at you she hides true love en su bolsillo she got a halo around her finger around youyou know that i love you boy hot like mexico rejoice at this point i gotta choose nothing to losedont call my name dont call my name alejandro im not your babe im not your babe fernandodont wanna kiss dont wanna touch just smoke my cigarette and hush dont call my name dont call my name robertoalejandro alejandro alealejandro alealejandroalejandro alejandro alealejandro alealejandrostop please just let me go alejandro just let me goshes not broken shes just a baby but her boyfriends like a dad just like a dad and all those flames that burned before him now hes gonna fire fight gotta cool the badyou know that i love you boy hot like mexico rejoice at this point ive gotta choose nothing to losedont call my name dont call my name alejandro im not your babe im not your babe fernandodont wanna kiss dont wanna touch just smoke my cigarette and hush dont call my name dont call my name robertoalejandro alejandro alealejandro alealejandroalejandro alejandro alealejandro alealejandrodont bother me dont bother me alejandro dont call my name dont call my name bye fernando im not your babe im not your babe alejandro dont wanna kiss dont wanna touch fernandodont call my name dont call my name alejandro im not your babe im not your babe fernando dont wanna kiss dont wanna touch just smoke my cigarette and hush dont call my name dont call my name robertoalejandro alejandro alealejandro alealejandroalejandro alejandro alealejandro alealejandrodont call my name dont call my name alejandro im not your babe im not your babe fernando dont wanna kiss dont wanna touch just smoke my cigarette and hush dont call my name dont call my name robertoalejandro 
23,20,Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69,28.0, maybe i need some rehab or maybe just need some sleep i got a sick obsession im seein it in my dreams im lookin down every alley im makin those desperate calls im stayin up all night hopin hitin my head against the wallwhat you got boy is hard to find i think about it all the time im all strung out my heart is fried i just cant get you off my mindbecause your love your love your love is my drug your love your love your love i said your love your love your love is my drug your love your love your lovewont listen to any advice mommas tellin me i should think twice but look into my own devices im addicted its a crisis my friends think ive gone crazy my judgments gettin kinda hazy my esteem is gonna be affected if i keep it up like a love sick crack headwhat you got boy is hard to find i think about it all the time im all strung out my heart is fried i just cant get you off my mindbecause your love your love your love is my drug your love your love your love i said your love your love your love is my drug your love your love your lovei dont care what people say the rush is worth the price i pay i get so high when your with me but crash and crave you when you leavehey so i got a question do you wanna have a slumber party in my basement do i make your heart beat like an 808 drum is my love your drug your drug hi your drug hi your drug is my love your drugbecause your love your love your love is my drug your love your love your love i said your love your love your love is my drug your love your love your lovebecause your love your love your love is my drug your love your love your love i said your love your love your love is my drug your love your love your lovehey hey so you love your love your love is my drug i like your beard 
24,21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68,58.0, i cant go any further than this i want you so badly its my biggest wishi spent my time just thinking thinking thinking bout you every single day yes im really missin missin you and all those things we use to use to use to do hey girl whats up it use it use to be just me and you i spent my time just thinking thinking thinking bout you every single day yes im really missing missing you and all those things we use to use to use to do hey girl whats up whats up whats up whats upcan you meet me halfway right at the borderline is where im gonna wait for you ill be looking out night n day took my heart to the limit and this is where i stay i cant go any further than this i want you so bad its my only wishgirl i travel round the world and even sail the seven seas across the universe i go to other galaxies just tell me where to go just tell me where you wanna to meet i navigate myself myself to take me where you be cause girl i want i i i want you right now i travel uptown town i travel downtown i wanna to have you around round like every single day i love you alway wayscan you meet me half way ill meet you halfway right at the borderline thats where im gonna wait for you ill be looking out night n day took my heart to the limit and this is where ill stay i cant go any further than this i want you so bad its my only wish i cant go any further than this i want you so bad its my only wishlets walk the bridge to the other side just you and i just you and i i will fly ill fly the skies for you and i for you and i i will try until i die for you and i for you and i for for you and i for for you and i for for you and i for you and ican you meet me half way can you meet me half way can you meet me half way can you meet me half waymeet me half way right at the borderline thats where im gonna wait for you ill be looking out night n day took my heart to the limit and this is where ill stay i cant go any further than this i want you so bad its my only wish i cant go any further than this i want you so bad its my only wish 
25,22,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66,45.0, hey slow it down whataya want from me whataya want from me yeah im afraid whataya want from me whataya want from methere might have been a time when i would give myself away ooh once upon a time i didnt give a damn but now here we are so whataya want from me whataya want from mejust dont give up im workin it out please dont give in i wont let you down it messed me up need a second to breathe just keep coming around hey whataya want from me whataya want from meyeah its plain to see that baby youre beautiful and theres nothing wrong with you its me im a freak but thanks for lovin me cause youre doing it perfectlythere might have been a time when i would let you slip away i wouldnt even try but i think you could save my lifejust dont give up im workin it out please dont give in i wont let you down it messed me up need a second to breathe just keep coming around hey whataya want from me whataya want from me whataya want from me whataya want from mejust dont give up on me i wont let you down no i wont let you downso just dont give up im workin it out please dont give in i wont let you down it messed me up need a second to breathe just keep coming around hey whataya want from mejust dont give up im workin it out please dont give in i wont let you down it messed me up need a second to breathe just keep coming around hey whataya want from me whataya want from me whataya want from me whataya want from me whataya want from me 
26,23,Take It Off,Kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66,59.0, theres a place downtown where the freaks all come around its a hole in the wall its a dirty free for allwhen the dark off the night comes around thats the time that the animal comes alive looking for something wildand now we lookin like pimps in my gold transam got a water bottle full of whiskey in my handbag got my drunk text on ill regret it in the mornin but tonight i dont give a i dont give a i dont give atheres a place downtown where the freaks all come around its a hole in the wall its a dirty free for alland they turn me on when they take it off when they take it off everybody take it offtheres a place i know if youre looking for a show where they go hardcore and theres glitter on the floorand they turn me on when they take it off when they take it off everybody take it offlose your mind lose it now lose your clothes in the crowd were delirious tear it down til the sun comes back aroundnnow were getting so smashed knocking over trash cans everybody breakin bottles its a filthy hot mess gonna get laid im not the designated driver so i dont give a i dont give a i dont give atheres a place downtown where the freaks all come around its a hole in the wall its a dirty free for alland they turn me on when they take it off when they take it off everybody take it offtheres a place i know if youre looking for a show where they go hardcore and theres glitter on the floorand they turn me on when they take it off when they take it off everybody take it offoh oh oh everybody take it off oh oh oheverybody take it off right now take it off right now take it off right now take it off ohright now take it off right now take it off right now take it off everybody take it offtheres a place downtown where the freaks all come around its a hole in the wall its a dirty free for alland they turn me on when they take it off when they take it off everybody take it offtheres a place i know if youre looking for a show where they go hardcore and theres glitter on the floorand they turn me on when they take it off when they take it off everybody take it off 
27,24,Misery,Maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65,62.0, oh yeah oh yeah so scared of breaking it that you wont let it bend and i wrote two hundred letters i will never send sometimes these cuts are so much deeper then they seem youd rather cover up id rather let them bleed so let me be and ill set you freei am in misery there aint nobody who can comfort me why wont you answer me the silence is slowly killing me girl you really got me bad you really got me bad im gonna get you back gonna get you backyour salty skin and how it mixes in with mine the way it feels to be completely intertwined its not that i didnt care its that i didnt know its not what i didnt feel its what i didnt show so let me be and ill set you freei am in misery there aint nobody who can comfort me why wont you answer me your silence is slowly killing me girl you really got me bad you really got me bad im gonna get you back gonna get you backyou say your faith is shaken you may be mistaken you keep me wide awake and waiting for the sun im desperate and confused so far away from you im getting there dont care where i have to runwhy do you do what you do to me yeah why wont you answer me answer me yeah why do you do what you do to me yeah why wont you answer me answer me yeahi am in misery there aint nobody who can comfort me why wont you answer me your silence is slowly killing me girl you really got me bad you really got me bad im gonna get you back gonna get you backgirl you really got me bad you really got me bad im gonna get you back gonna get you backgirl you really got me bad you really got me bad im gonna get you back gonna get you back 
28,25,All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28,65,238,26,5,65,54.0, all the right friends in all the right places so yeah were going down all the right moves in all the right places so yeah were going downpaint a picture of the perfect place theyve got it better than when anyones told ya ill be the king of hearts youre the queen of spades and well fight for you like we were soldiersi know weve got it good but theyve got it made and the grass is getting greener each day i know things are looking up but soon theyll take us down before anybodys knowing our nametheyve got all the right friends in all the right places so yeah were going down theyve got all the right moves in all the right faces so yeah were going downeverybody knows everybody knows where were going yeah were going down i said everybody knows everybody knows where were going yeah were going downdo you think im special do you think im nice am i bright enough to shine in your spaces between the noise you hear and the sound you like are we just sinking in the ocean of facesit cant be possible that rain can fall only when its over our heads the sun is shining everyday but its far away over the world its said theyve got theyve gotall the right friends in all the right places so yeah were going down we got all the right moves in all the right places so yeah were going downeverybody knows everybody knows where were going yeah were going down everybody knows everybody knows where were going yeah were going down going down going down going down going downit dont matter what you see i know i could never be someone thatll look like you it dont matter what you say i know i could never face someone that could sound like youall the right friends in all the right places so yeah were going down they got all the right moves in all the right places so yeah were going downall the right friends in all the right places so yeah were going down they got all the right moves in all the right places so yeah were going downsaid everybody knows everybody knows where were going yeah were going down i said everybody knows everybody knows where were going yeah were going down going down going down going downyeah were going down yeah were going down all the right moves hey yeah were going down all the right moves hey yeah were going down 
29,26,Animal,Neon Trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65,61.0, here we go again i kinda wanna be more than friends so take it easy on me im afraid youre never satisfiedhere we go again were sick like animals we play pretend youre just a cannibal and im afraid i wont get out alive no i wont sleep tonightoh oh i want some more oh oh what are you waitin for take a bite of my heart tonight oh oh i want some more oh oh what are you waitin for what are you waitin for say goodbye to my heart tonighthere we are again i feel the chemicals kickin in its gettin heavier i wanna run and hide i wanna run and hide i do it every time youre killin me now and i wont be denied by you the animal inside of youoh oh i want some more oh oh what are you waitin for take a bite of my heart tonight oh oh i want some more oh oh what are you waitin for what are you waitin for say goodbye to my heart tonighthush hush the world is quiet hush hush we both cant fight it its us that made this mess why cant you understand whoa i wont sleep tonight i wont sleep tonighthere we go againoh oh i want some more oh oh what are you waitin for take a bite of my heart tonight oh oh i want some more oh oh what are you waitin for what are you waitin for what are you waitin take a bite of my heart tonightoh oh i want some more oh oh what are you waitin for what are you waitin for say goodbye to my heart tonight 
31,27,Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5,88,203,2,5,64,77.0,how you choose to express yourself its all your own and i can tell it comes naturally it comes naturally you follow what you feel inside its intuitive you dont have to try it comes naturally it comes naturally and it takes my breath away what you do so naturally you are the thunder and i am the lightning and i love the way you know who you are and to me its exciting when you know its meant to be everything comes naturally it comes naturally when youre with me baby everything comes naturally it comes naturally baybaybaby you have a way of moving me a force of nature your energy it comes naturally it comes naturally yeah and it takes my breath away what you do so naturally you are the thunder and i am the lightning and i love the way you know who you are and to me its exciting when you know its meant to be everything comes naturally it comes naturally when youre with me baby everything comes naturally it comes naturally baybaybaby when we collide sparks fly when you look in my eyes it takes my breath away you are the thunder and i am the lightning and i love the way you know who you are and to me its exciting when you know its meant to be everything comes naturally it comes naturally when youre with me baby everything comes naturally it comes naturally baybaybaby naturally naturally naturally baybaybaby naturally naturally naturally everything baby comes naturally naturally naturally everything baby comes naturally
32,28,I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63,12.0, one life one love enrique iglesias pitbull yall know what time it is go go go deejay we go set it off tonight just go go go go deejay set the club on fire just go go go go deejay the club is on fire enrique holler at them likegirl please excuse me if im coming too strong but tonight is the night we can really let go my girlfriends out of town and im all alone your boyfriends on vacation and he doesnt have to know no oh oh oh oh no one can do the things im gonna wanna do to you no oh oh oh oh shout out loud scream out loud let me hear you gobaby i like it the way you move on the floor baby i like it come on and give me some more oh yes i like it screaming like never before baby i like it i i i like itparty caramba fiesta forevergirl please excuse me if im misbehaving oh im trying to keep my hands off but youre begging me for more round round round give a low low low let the time time pass cause were never getting old no oh oh oh oh no one can do it better turn around ill give you more no oh oh oh oh shout out loud scream out loud let me hear you gobaby i like it the way you move on the floor baby i like it come on and give me some more oh yes i like it screaming like never before baby i like it i i i like itcome deejay thats my deejay im a miami boy you know how we play i aint playing with you but i want to play with you get me got me good now watch meits a different species meet me in dc lets party on the white house lawn tiger woods times jesse james equals pitbull all night long wake up barack and michelle let em know that its on pa fuera pa la calle dale mamita tirame ese baile dale mamita tirame ese baile i see you watchin me you see me watchin you i love the way you move i like them things you do likedont stop baby dont stop baby just keep on shaking along i wont stop baby wont stop baby until you get enoughparty caramba fiesta foreverbaby i like it the way you move on the floor baby i like it come on and give me some more oh yes i like it screaming like never before baby i like it i i i like itbaby i like it the way you move on the floor baby i like it come on and give me some more oh yes i like it screaming like never before baby i like it i i i like itparty oh yes i like it caramba fiesta forever oh yes i like it party caramba oh yes i like it fiesta forever oh i like it 
